32,27
68,27
77,27
104,27
120,27
129,27
152,27
165,27
174,27
38,32
60,32
70,32
104,32
166,32
41,38
55,38
61,38
70,38
105,38
160,38
32,42
68,42
124,42
176,42
54,53
93,53
106,53
115,53
166,53
37,58
56,58
65,58
110,58
166,58
39,67
51,65
51,69
70,67
104,65
104,69
115,65
115,69
171,65
170,69
39,73
51,73
70,73
88,73
106,73
39,78
57,78
76,78
104,78
129,78
142,78
160,78
170,78
39,82
57,82
79,82
39,86
53,86
65,86
111,86
126,86
39,110
63,110
106,110
40,105
80,105
160,105
177,105
54,111
66,111
132,111
118,111
40,117
58,117
101,117
40,123
87,123
115,123
153,123
187,123
40,129
70,129
121,129
133,129
144,129
171,129
185,129
74,135
105,135
146,135
184,135
35,141
92,141
138,141
58,147
52,160
104,160
140,160
52,166
104,166
140,166
52,172
104,172
140,172
